"ID","shLuci_vitro_v2_1","shLuci_vitro_v2_2","shLuci_vitro_v2_3","shLuci_vivo_v2_1_NN","shLuci_vivo_v2_2_NN","shLuci_vivo_v2_3_NN","shRad21_vitro_v2_1","shRad21_vitro_v2_2","shRad21_vitro_v2_3","shRad21_vivo_v2_1_NN","shRad21_vivo_v2_2_NN","shRad21_vivo_v2_3_NN"
"ENSMUSG00000001288",624,914,1027,179,142,187,1083,986,1607,282,300,296
"ENSMUSG00000001289",972,1157,1299,914,828,932,1397,1334,1716,968,844,867
"ENSMUSG00000001300",8,14,6,9,8,18,15,11,13,10,29,32
"ENSMUSG00000001305",616,815,845,1088,912,1096,1165,879,1078,1290,1066,1139
"ENSMUSG00000001313",227,262,348,222,140,202,324,344,573,227,203,248
"ENSMUSG00000001323",248,469,446,483,298,356,402,382,578,326,391,367
"ENSMUSG00000001333",0,4,3,3,4,1,6,5,7,7,10,0
"ENSMUSG00000001334",0,0,1,6,2,3,0,0,2,0,1,5
"ENSMUSG00000001348",31,43,54,106,115,149,32,30,74,61,141,129
"ENSMUSG00000001349",0,1,0,8,2,6,1,0,0,8,9,5
"ENSMUSG00000001366",1308,1859,2098,2893,2551,3097,2547,2321,3400,3774,3419,3790
"ENSMUSG00000001376",706,1028,1134,1160,1065,1318,1441,1149,1708,1109,1505,1147
"ENSMUSG00000001380",1180,1594,1691,2683,2166,2458,2210,1810,2374,2812,2287,2402
"ENSMUSG00000001383",2071,2837,2507,1875,1683,1898,3560,3151,4132,1794,1715,1647
"ENSMUSG00000001403",1060,1370,1148,2641,2341,2638,1567,1258,1584,1650,1881,1667
"ENSMUSG00000001415",2059,2676,3107,1826,1501,1865,3826,2915,4077,1548,1963,1689
"ENSMUSG00000001416",5139,6636,7125,13426,10846,12271,8328,6822,9216,12516,12467,11913
"ENSMUSG00000001418",1314,1670,2061,2405,2185,2582,2429,2105,3055,2238,2290,2436
"ENSMUSG00000001419",2273,3014,3695,2711,2259,2565,4038,3172,4531,2311,2302,2366
"ENSMUSG00000001420",42,46,53,30,37,28,50,56,74,35,33,40
"ENSMUSG00000001424",6442,8495,9692,8182,7314,7869,9657,8155,11301,7265,7484,7782
"ENSMUSG00000001435",607,894,872,68,88,42,215,161,196,100,207,109
"ENSMUSG00000001436",1030,1172,1392,2601,2176,2529,1456,1084,1468,3044,2368,2421
"ENSMUSG00000001440",9094,12338,13410,3301,2798,3457,17569,13121,18251,3539,3373,3439
"ENSMUSG00000001441",2099,3200,4335,1021,798,1130,3620,3029,4871,1180,1156,1169
"ENSMUSG00000001444",0,1,2,10,16,18,0,0,3,6,6,3
"ENSMUSG00000001445",704,963,961,1445,1130,1335,1274,1072,1404,1397,1258,1331
"ENSMUSG00000001467",12160,16073,15089,1138,1213,1317,14252,11796,17649,1718,1190,1289
"ENSMUSG00000001472",5657,7603,8998,8607,6725,8232,9251,7863,10983,9100,8959,8662
"ENSMUSG00000001473",268,379,453,733,703,848,250,240,376,1056,987,1106
"ENSMUSG00000001482",4342,5997,5777,13249,11368,13791,5015,5184,6814,12338,13599,13291
"ENSMUSG00000001493",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000001494",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000001496",0,0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000001497",1,0,0,0,0,2,0,0,1,0,0,3
"ENSMUSG00000001504",0,0,1,1,3,2,0,0,0,1,0,2
"ENSMUSG00000001506",17,38,49,6,5,21,35,43,76,6,9,5
"ENSMUSG00000001507",230,235,369,54,50,100,408,314,600,169,128,141
"ENSMUSG00000001508",0,0,0,0,8,7,0,0,0,0,1,0
"ENSMUSG00000001510",1,0,6,0,2,0,9,4,2,0,0,0
"ENSMUSG00000001517",1004,1327,1736,1906,1645,1825,1946,1450,2064,1099,1459,1325
"ENSMUSG00000001518",390,479,592,1068,1029,1083,726,551,716,1005,1073,1105
"ENSMUSG00000001520",11,21,22,29,29,56,31,25,32,41,53,49
"ENSMUSG00000001521",207,297,366,8,41,26,379,304,529,37,27,24
"ENSMUSG00000001524",537,646,665,1161,1050,1305,751,623,885,1090,1140,1091
"ENSMUSG00000001525",20271,25700,29514,16379,14577,15678,32605,27283,36493,13593,13461,12942
"ENSMUSG00000001542",1241,1950,1465,356,414,502,1023,1059,1692,388,421,442
"ENSMUSG00000001552",498,774,913,657,656,653,716,714,985,722,771,758
"ENSMUSG00000001555",30,53,63,27,35,24,43,51,130,222,195,204
"ENSMUSG00000001558",9,15,12,5,8,16,9,7,14,3,17,14
"ENSMUSG00000001566",0,0,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000001569",926,1374,1433,1857,1453,1747,1953,1585,2060,1669,1622,1616
"ENSMUSG00000001576",2581,3223,3578,5173,3980,4718,3845,2973,4156,5198,5605,5014
"ENSMUSG00000001583",5,11,15,21,7,21,10,9,13,31,24,17
"ENSMUSG00000001588",5950,7610,10248,12694,9892,11981,11763,8482,12575,10885,9862,10477
"ENSMUSG00000001604",0,0,1,0,2,0,0,0,0,1,0,0
"ENSMUSG00000001622",0,0,0,1,0,8,0,0,0,3,0,6
"ENSMUSG00000001627",1293,1524,1475,1850,1611,1705,1630,1399,1981,1881,1683,1876
"ENSMUSG00000001630",329,521,580,143,94,153,498,396,609,182,193,192
"ENSMUSG00000001632",1273,1686,1985,2126,1623,2035,2270,1768,2569,1791,2290,1982
"ENSMUSG00000001642",243,289,336,662,531,638,431,335,506,659,738,589
"ENSMUSG00000001655",0,0,1,0,0,0,0,0,1,0,1,0
"ENSMUSG00000001656",0,1,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000001657",4,1,2,2,8,23,0,3,1,0,8,0
"ENSMUSG00000001661",11,26,18,20,19,39,6,17,18,19,25,28
"ENSMUSG00000001663",612,1635,1392,165,192,146,192,386,537,257,241,240
"ENSMUSG00000001665",470,933,879,527,530,574,463,493,682,630,594,599
"ENSMUSG00000001666",497,683,587,230,177,206,262,231,313,172,194,163
"ENSMUSG00000001670",0,0,0,2,0,0,0,0,0,1,1,0
"ENSMUSG00000001672",0,1,1,2,3,0,0,0,0,0,3,1
"ENSMUSG00000001674",486,563,583,451,401,519,785,605,787,481,415,452
"ENSMUSG00000001687",835,1189,1019,2217,2232,2316,1555,1174,1755,2070,2252,2117
"ENSMUSG00000001700",292,460,406,349,427,350,410,323,429,260,273,255
"ENSMUSG00000001707",871,997,796,1103,1066,1199,1010,841,1083,1177,1024,1095
"ENSMUSG00000001729",4858,5986,6739,10635,8630,10316,8702,7342,10153,11224,10854,10896
"ENSMUSG00000001739",2,1,2,76,83,70,0,5,7,78,74,72
"ENSMUSG00000001741",1060,1778,2056,4736,3999,4373,2082,1725,2453,3668,4088,3990
"ENSMUSG00000001750",2328,2742,4004,3962,2924,3769,3387,2731,4579,3217,3182,2770
"ENSMUSG00000001751",596,913,1047,1419,1194,1416,1206,1114,1789,1517,1520,1481
"ENSMUSG00000001755",793,970,1094,2116,1639,1782,1225,1089,1459,1857,1691,1788
"ENSMUSG00000001761",1878,2193,1982,1846,1743,1995,3089,2372,3000,2214,2613,2468
