"ID","N1_24h_IFN","N1_24h_mock","N1_24h_RVFV","N1_6h_IFN","N1_6h_mock","N1_6h_RVFV","N2_24h_IFN","N2_24h_mock","N2_24h_RVFV","N2_6h_IFN","N2_6h_mock","N2_6h_RVFV","N3_24h_IFN","N3_24h_mock","N3_24h_RVFV","N3_6h_IFN","N3_6h_mock","N3_6h_RVFV"
"ENSMLUG00000000229",6,8,4,2,6,3,5,6,9,6,2,4,4,10,8,1,2,6
"ENSMLUG00000000230",2,0,1,1,2,1,1,0,2,2,1,0,0,0,1,1,0,0
"ENSMLUG00000000231",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000232",2,0,0,0,0,1,1,0,0,1,1,0,1,1,0,1,0,0
"ENSMLUG00000000233",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000234",1,1,4,3,5,1,0,5,5,0,2,3,0,2,2,3,2,6
"ENSMLUG00000000235",0,0,0,0,0,0,5,0,0,1,0,0,1,1,1,0,0,0
"ENSMLUG00000000236",1,0,0,3,0,0,1,2,3,2,0,4,3,1,1,0,0,0
"ENSMLUG00000000238",7,1,1,1,0,0,2,1,4,0,0,2,2,0,2,1,1,2
"ENSMLUG00000000239",2,0,5,0,0,0,0,3,0,0,0,0,0,0,2,0,2,0
"ENSMLUG00000000240",2,2,8,3,2,1,4,6,5,2,3,4,6,5,4,0,1,4
"ENSMLUG00000000241",3,1,1,1,0,1,1,0,3,1,5,2,1,0,3,2,1,0
"ENSMLUG00000000242",7,2,11,8,1,3,14,1,22,18,3,2,9,4,12,8,0,2
"ENSMLUG00000000244",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000247",1,0,1,3,0,1,0,0,0,0,0,3,2,3,2,2,1,1
"ENSMLUG00000000248",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000249",1,3,0,2,1,0,1,3,6,2,2,4,1,1,0,0,0,0
"ENSMLUG00000000250",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSMLUG00000000251",2,5,5,2,2,0,3,2,6,6,1,0,0,3,4,0,2,5
"ENSMLUG00000000252",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000253",4,1,3,5,1,3,0,3,0,3,6,4,3,4,2,1,0,1
"ENSMLUG00000000255",3,0,1,1,1,0,0,0,0,0,0,0,1,0,2,1,2,0
"ENSMLUG00000000256",13,9,6,12,7,2,6,18,14,25,3,2,16,7,19,18,6,9
"ENSMLUG00000000257",0,0,0,3,1,1,4,0,3,0,1,0,2,0,5,1,0,1
"ENSMLUG00000000258",32,27,7,30,22,18,21,20,26,22,15,19,23,32,23,23,21,28
"ENSMLUG00000000259",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000260",0,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0,1,2
"ENSMLUG00000000261",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000262",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000263",1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"ENSMLUG00000000264",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000265",6,0,5,2,0,2,3,2,0,4,0,3,3,2,1,1,1,1
"ENSMLUG00000000266",1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,2,1
"ENSMLUG00000000267",0,1,0,1,0,1,2,0,0,0,0,0,2,0,0,2,0,1
"ENSMLUG00000000268",0,0,1,0,0,1,1,1,0,0,0,3,0,0,1,1,0,0
"ENSMLUG00000000269",0,2,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
"ENSMLUG00000000270",5,2,4,3,1,1,1,0,3,0,2,1,4,7,3,0,4,2
"ENSMLUG00000000271",5,3,6,9,5,0,7,5,9,3,3,1,4,4,6,3,2,3
"ENSMLUG00000000272",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
"ENSMLUG00000000275",3,1,1,0,0,3,1,0,0,0,0,1,0,1,0,1,0,1
"ENSMLUG00000000277",3,0,1,1,0,0,3,4,1,1,1,1,1,1,1,6,1,0
"ENSMLUG00000000278",3,1,3,2,1,2,2,0,3,5,1,3,3,1,4,1,1,4
"ENSMLUG00000000279",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000280",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
"ENSMLUG00000000281",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000282",0,1,4,4,2,0,3,2,1,2,0,1,2,2,2,4,4,1
"ENSMLUG00000000283",5,0,6,3,0,0,5,0,5,1,0,0,1,1,3,3,5,1
"ENSMLUG00000000284",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000285",0,0,1,3,0,0,1,0,3,2,0,0,5,1,1,1,0,0
"ENSMLUG00000000286",1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1
"ENSMLUG00000000287",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000288",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000289",0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000290",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000291",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000292",2,1,8,8,0,3,5,7,11,7,5,3,6,1,5,0,3,7
"ENSMLUG00000000293",3,1,5,2,2,0,0,0,5,4,0,7,1,1,2,1,3,1
"ENSMLUG00000000294",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000295",2,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"ENSMLUG00000000296",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000298",1,0,0,1,1,0,0,2,1,0,0,1,2,2,1,1,0,0
"ENSMLUG00000000299",0,0,0,0,1,0,0,2,1,0,2,0,3,0,1,0,0,0
"ENSMLUG00000000300",1,1,1,1,0,0,0,0,2,1,0,0,1,0,1,0,0,0
"ENSMLUG00000000302",0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
"ENSMLUG00000000303",6,4,12,4,9,2,9,8,13,6,3,4,2,4,10,4,4,10
"ENSMLUG00000000304",3,0,2,1,0,1,4,0,1,0,1,0,0,0,2,0,1,0
"ENSMLUG00000000305",0,0,5,0,0,0,1,0,0,1,0,0,3,1,1,1,1,0
"ENSMLUG00000000306",2,0,5,2,0,5,0,0,0,3,1,2,2,0,1,2,1,0
"ENSMLUG00000000307",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000308",7,2,4,7,1,4,6,3,7,3,2,4,4,7,4,11,10,5
"ENSMLUG00000000311",6,0,3,1,2,0,1,2,3,1,0,0,1,0,0,1,0,0
"ENSMLUG00000000313",2,0,1,1,0,0,0,0,1,1,0,0,2,0,3,0,0,0
"ENSMLUG00000000314",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000315",3,0,2,1,3,2,1,0,4,1,0,2,2,1,5,5,0,0
